suite,case_id,repeat,seed,agent_capacity,bluegill_initial,minnow_initial,bass_initial,food,cover,ticks,ticks_per_day,spatial_grid,detection_radius,mate_radius,bass_mate_radius,program_ms,kernel_total_ms,kernel_avg_ms,kernel_max_ms,kernel_launches,wall_seconds,final_day,final_bluegill,final_minnow,final_bass,final_food,day_births,day_deaths,day_predation,status
grid,grid32,3,314,100000,20000,25000,1000,33333,5000,96,96,32,0.28,0.075,0.14,10768.076,6022.840,62.738,99.318,96,11.40,1.000000,45070,31680,2006,6733,36337,0,3581,ok
grid,grid48,1,112,100000,20000,25000,1000,33333,5000,96,96,48,0.28,0.075,0.14,11716.608,6468.653,67.382,108.786,96,12.01,1.000000,44641,32242,2036,6530,36547,0,3628,ok
grid,grid48,2,213,100000,20000,25000,1000,33333,5000,96,96,48,0.28,0.075,0.14,11846.528,6468.081,67.376,111.828,96,12.10,1.000000,44895,30951,2101,6671,35654,0,3707,ok
grid,grid48,3,314,100000,20000,25000,1000,33333,5000,96,96,48,0.28,0.075,0.14,11639.930,6610.076,68.855,117.629,96,12.18,1.000000,44650,31224,2047,6607,35524,0,3603,ok
grid,grid64,1,112,100000,20000,25000,1000,33333,5000,96,96,64,0.28,0.075,0.14,12602.648,7002.570,72.943,125.032,96,26.30,1.000000,44630,31523,2024,6661,35773,0,3596,ok
grid,grid64,2,213,100000,20000,25000,1000,33333,5000,96,96,64,0.28,0.075,0.14,13005.622,7217.345,75.181,123.484,96,13.78,1.000000,45027,30562,2074,6627,35297,0,3634,ok
grid,grid64,3,314,100000,20000,25000,1000,33333,5000,96,96,64,0.28,0.075,0.14,12970.082,7218.934,75.197,130.407,96,13.65,1.000000,44726,31769,2042,6775,36176,0,3639,ok
grid,grid96,1,112,100000,20000,25000,1000,33333,5000,96,96,96,0.28,0.075,0.14,15299.787,8400.943,87.510,156.210,96,15.63,1.000000,44583,30804,2073,6766,35100,0,3640,ok
grid,grid96,2,213,100000,20000,25000,1000,33333,5000,96,96,96,0.28,0.075,0.14,15257.857,8307.573,86.537,143.999,96,15.93,1.000000,44977,31033,2063,6573,35684,0,3611,ok
grid,grid96,3,314,100000,20000,25000,1000,33333,5000,96,96,96,0.28,0.075,0.14,15525.121,8702.338,90.649,166.579,96,15.87,1.000000,44491,30903,2086,6598,35155,0,3675,ok
grid,grid128,1,112,100000,20000,25000,1000,33333,5000,96,96,128,0.28,0.075,0.14,17608.868,9896.616,103.090,181.172,96,18.03,1.000000,44615,31096,2048,6586,35372,0,3613,ok
grid,grid128,2,213,100000,20000,25000,1000,33333,5000,96,96,128,0.28,0.075,0.14,17498.465,9701.503,101.057,170.537,96,17.96,1.000000,44277,31090,1980,6635,34845,0,3498,ok
grid,grid128,3,314,100000,20000,25000,1000,33333,5000,96,96,128,0.28,0.075,0.14,17400.213,9762.249,101.690,168.733,96,17.85,1.000000,43640,31017,2026,6661,34248,0,3565,ok
radius,r0.12,1,112,100000,20000,25000,1000,33333,5000,96,96,64,0.12,0.075,0.14,9122.392,2108.967,21.968,28.662,96,9.80,1.000000,46514,33719,2081,6740,40042,0,3728,ok
radius,r0.12,2,213,100000,20000,25000,1000,33333,5000,96,96,64,0.12,0.075,0.14,9369.615,2274.993,23.698,36.001,96,10.37,1.000000,46487,33742,2064,6693,40004,0,3711,ok
radius,r0.12,3,314,100000,20000,25000,1000,33333,5000,96,96,64,0.12,0.075,0.14,9132.147,2190.611,22.819,36.912,96,9.58,1.000000,46782,33619,2029,6552,40089,0,3659,ok
radius,r0.20,1,112,100000,20000,25000,1000,33333,5000,96,96,64,0.20,0.075,0.14,10482.577,4345.731,45.268,83.928,96,10.81,1.000000,45942,31379,2011,6805,36894,0,3562,ok
radius,r0.20,2,213,100000,20000,25000,1000,33333,5000,96,96,64,0.20,0.075,0.14,10360.417,4131.970,43.041,79.165,96,10.73,1.000000,45713,31872,2050,6532,37283,0,3648,ok
radius,r0.20,3,314,100000,20000,25000,1000,33333,5000,96,96,64,0.20,0.075,0.14,10445.197,4366.362,45.483,89.721,96,11.06,1.000000,45833,31027,2047,6594,36559,0,3652,ok
radius,r0.28,1,112,100000,20000,25000,1000,33333,5000,96,96,64,0.28,0.075,0.14,12819.808,7151.828,74.498,121.052,96,13.34,1.000000,44671,31486,2053,6588,35792,0,3582,ok
radius,r0.28,2,213,100000,20000,25000,1000,33333,5000,96,96,64,0.28,0.075,0.14,12855.586,7146.717,74.445,124.864,96,13.26,1.000000,44714,30917,2061,6644,35353,0,3661,ok
radius,r0.28,3,314,100000,20000,25000,1000,33333,5000,96,96,64,0.28,0.075,0.14,12949.444,7241.300,75.430,131.436,96,13.27,1.000000,45106,30837,2089,6677,35699,0,3667,ok
radius,r0.35,1,112,100000,20000,25000,1000,33333,5000,96,96,64,0.35,0.075,0.14,15192.469,9827.075,102.365,158.986,96,15.47,1.000000,44153,30383,2019,6526,34122,0,3567,ok
radius,r0.35,2,213,100000,20000,25000,1000,33333,5000,96,96,64,0.35,0.075,0.14,16062.813,10790.535,112.401,181.463,96,17.05,1.000000,44089,30312,2033,6670,33972,0,3538,ok
radius,r0.35,3,314,100000,20000,25000,1000,33333,5000,96,96,64,0.35,0.075,0.14,15304.699,10082.238,105.023,169.944,96,16.07,1.000000,44301,29472,2040,6728,33326,0,3513,ok
